void,dirt,sand,grass,tree,pole,water,sky,vehicle,object,asphalt,gravel,building,mulch,rock-bed,log,bicycle,person,fence,bush,sign,rock,bridge,concrete,picnic-table,dice
0.0,0.0,0.0,0.84232634,0.93705297,0.0,0.0,0.7302623,0.0,0.0,0.0,0.98527896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.806898,0.0,0.0,0.0,0.0,0.0,0.961953
0.0,0.0,0.0,0.77281624,0.91830367,0.0,0.0,0.0,0.0,0.83222127,0.0,0.0,0.0,0.8968738,0.0,0.16201061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9205232
0.06,0.0,0.0,0.0,0.96752274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.942659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96825844
0.07188161,0.0,0.0,0.84536165,0.8827131,0.0,0.0,0.81536555,0.62082064,0.0,0.47786513,0.0,0.7,0.847598,0.0,0.0,0.0,0.0,0.716616,0.0,0.0,0.0,0.0,0.0,0.0,0.9101744
0.0,0.0,0.0,0.3912043,0.42011622,0.0,0.0,0.61883354,0.23277849,0.0,0.0,0.6268936,0.0,0.95804673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7224551
0.0,0.0,0.0,0.704625,0.9576413,0.49232158,0.0,0.8996726,0.0,0.6744186,0.74502236,0.0772325,0.65398055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6035242,0.0,0.0,0.0,0.0,0.8695666
0.0,0.0,0.0,0.79351205,0.9165325,0.0,0.0,0.6456566,0.0,0.0,0.0,0.37982598,0.0,0.436611,0.0,0.2248905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82501584
0.0,0.0,0.0,0.92508084,0.91330683,0.48897058,0.5980392,0.9034212,0.0,0.0,0.0,0.3993255,0.0,0.0,0.0,0.19583334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93864167
0.0,0.0,0.0,0.9752223,0.7609597,0.0,0.0,0.9082134,0.7133348,0.0,0.3510101,0.0,0.8312795,0.0,0.0,0.0,0.0,0.0,0.5443246,0.85982424,0.0,0.7721624,0.0,0.0,0.0,0.9317653
0.0,0.0,0.0,0.36117744,0.88045573,0.0,0.0,0.610367,0.0,0.0,0.0,0.79137367,0.0,0.86913806,0.0,0.0,0.0,0.0,0.0,0.33775914,0.0,0.0,0.0,0.0,0.0,0.8922489
0.0,0.0,0.0,0.99027306,0.7277629,0.0,0.0,0.8818932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41999912,0.0,0.0,0.0,0.0,0.0,0.0,0.884778
0.0,0.0,0.0,0.85823333,0.91013396,0.0,0.0,0.61622256,0.0,0.6837607,0.0,0.8626845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9168208
0.0,0.0,0.0,0.41666666,0.90468615,0.298995,0.0,0.97442704,0.83774424,0.4940163,0.8585405,0.0,0.89723104,0.0,0.0,0.0,0.0,0.0,0.6520413,0.5443038,0.0,0.0,0.0,0.5027141,0.0,0.91274315
0.0,0.0,0.0,0.64345264,0.9014763,0.0,0.0,0.7541216,0.0,0.0,0.0,0.0,0.4726679,0.87236625,0.0,0.2149264,0.0,0.0,0.0,0.0,0.0,0.46896854,0.0,0.0,0.0,0.90151954
0.0,0.0,0.6317073,0.6989353,0.93148845,0.4347826,0.45381525,0.9213578,0.0,0.0,0.0,0.84216887,0.94290966,0.0,0.0,0.0,0.0,0.0,0.0,0.80168617,0.0,0.0,0.0,0.0,0.0,0.91855973
0.0,0.0,0.0,0.85035956,0.9662881,0.53765225,0.0,0.9077634,0.0,0.6726727,0.77120167,0.0,0.7166998,0.0,0.0,0.6223294,0.0,0.0,0.0,0.0,0.6363636,0.0,0.0,0.0,0.0,0.88148785
0.0,0.0,0.0,0.94851637,0.9040335,0.64118564,0.0,0.8473146,0.72230875,0.31744185,0.56287473,0.0,0.7293622,0.32883087,0.0,0.0,0.0,0.0,0.0,0.0,0.35388127,0.0,0.0,0.0,0.0,0.9305523
0.0,0.0,0.0,0.83087784,0.9207987,0.0,0.0,0.9691101,0.7262314,0.0,0.0,0.739594,0.0,0.0,0.0,0.0,0.0,0.6306306,0.0,0.56190956,0.0,0.0,0.0,0.0,0.0,0.90801007
0.0,0.0,0.0,0.9395143,0.9204072,0.0,0.0,0.63866925,0.0,0.0,0.0,0.8577549,0.0,0.7356968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9374445
