Slot ID,Model,Loss Function,0: void,1: dirt,3: grass,4: tree,5: pole,6: water,7: sky,8: vehicle,9: object,10: asphalt,12: building,15: log,17: person,18: fence,19: bush,23: concrete,27: barrier,31: puddle,33: mud,34: rubble,mIoU,Dice
015,Deeplabv3+,DiceLoss,0,0,0.9127,0.8555,0,0.8691,0.9508,0,0,0,0,0.0001,0,0,0.8104,0.731,0,0.4292,0.5734,0,0.3066,0.9457
011,Deeplabv3+,CE,0,0,0.914,0.8618,0,0.8534,0.9496,0.3237,0.2789,0.6646,0.1861,0.5348,0.705,0.0168,0.8302,0.7574,0.6624,0.5298,0.5699,0.7106,0.5175,0.9519
012,Deeplabv3+,PowerJaccard,0,0,0.9282,0.8817,0,0.923,0.9564,0.3776,0,0.6612,0.2249,0,0.7563,0,0.8617,0.7895,0.7198,0.6078,0.641,0.7214,0.5025,0.9597
014,Deeplabv3+,FocalLoss,0,0,0.927,0.8807,0.1412,0.8928,0.9556,0.5853,0.5369,0.7983,0.567,0.6855,0.8262,0.3169,0.8535,0.8164,0.7617,0.6712,0.6256,0.7584,0.6300,0.9598
001,Deeplabv3+,FCIoUV2,0,0.2509,0.8847,0.8419,0.5515,0.8471,0.9399,0.7,0.6439,0.8621,0.6931,0.7489,0.8453,0.5585,0.7805,0.8245,0.7537,0.6898,0.6255,0.788,0.6915,0.9304
002,Unet,DiceLoss,0,0,0.796,0.5415,0,0,0.9457,0,0,0,0,0,0,0,0.511,0,0,0,0,0,0.1397,0.8384
003,Unet,CE,0,0,0.8041,0.5593,0,0.0056,0.9558,0,0,0,0,0,0,0,0.5304,0.2866,0.0232,0.185,0.0882,0,0.1719,0.853
004,Unet,PowerJaccard,0,0,0.8248,0.6407,0,0,0.9466,0,0,0,0,0,0,0,0.5659,0.5769,0.0469,0.0012,0.222,0,0.1913,0.8772
005,Unet,FocalLoss,0,0,0.8304,0.6094,0,0.1683,0.9511,0,0,0,0,0,0.0001,0,0.5905,0.5796,0.026,0.3013,0.1634,0.2288,0.2224,0.8764
013,Unet,FCIoUV2,0.4372,0,0.8386,0.6658,0.0134,0.1818,0.9595,0.2404,0.4096,0.3384,0.0017,0.0052,0.2578,0.229,0.6192,0.7305,0.2451,0.4939,0.2808,0.4372,0.3693,0.9013
006,HRNetv2,DiceLoss,0,0,0.8424,0.8396,0,0,0.9417,0,0,0,0,0,0,0,0.7861,0,0,0,0,0,0.17049,0.9091
007,HRNetv2,CE,0,0,0.9383,0.868,0.0036,0.8835,0.9508,0.3463,0.2548,0.7087,0.2514,0.5813,0.7598,0.1192,0.8775,0.7648,0.6403,0.5845,0.6033,0.7071,0.570694737,0.9629
008,HRNetv2,PowerJaccard,0,0,0.9262,0.8646,0,0.8865,0.9458,0,0,0.713,0,0.4365,0.6754,0,0.8569,0.7556,0.6223,0.5562,0.6064,0.6831,0.476425,0.9573
009,HRNetv2,FocalLoss,0,0,0.9253,0.8708,0.0707,0.873,0.9443,0.4712,0.4191,0.7096,0.4094,0.6142,0.7926,0.2621,0.8499,0.7756,0.7035,0.6163,0.6008,0.7187,0.611952632,0.9572
010,HRNetv2,FCIoUV2,0,0.2332,0.9207,0.8651,0.5515,0.8851,0.9466,0.6851,0.6142,0.7526,0.6516,0.7876,0.843,0.547,0.852,0.7811,0.7488,0.7528,0.7033,0.814,0.733436842,0.9538
